,endTime,artistName,trackName,msPlayed
669,2023-09-25 10:55,S. P. Balasubrahmanyam,Premaledani,4536
670,2023-09-25 10:55,S. P. Balasubrahmanyam,Penmai Konda,113169
671,2023-09-25 10:58,S. P. Balasubrahmanyam,Prema Entha,171433
672,2023-09-25 12:12,Hemachandra Vedala,"Bommali (From ""Billa"")",270285
673,2023-09-25 12:16,Kapil Kapilan,Neela Nilave,240039
674,2023-09-25 12:48,Kapil Kapilan,Neela Nilave,256446
675,2023-09-25 12:51,Kapil Kapilan,Neela Nilave,179066
676,2023-09-25 12:54,Thaman S,Bulbu Vaangittaen Machan,133140
677,2023-09-25 12:56,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",119052
678,2023-09-25 12:59,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",119052
679,2023-09-25 13:00,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",19368
680,2023-09-25 14:31,S. P. Balasubrahmanyam,Ithu Oru Ponmalai,10360
681,2023-09-25 15:39,S. P. Balasubrahmanyam,Ithu Oru Ponmalai,159333
682,2023-09-25 15:39,G. V. Prakash,Ayyayo,29643
683,2023-09-25 15:41,S. P. Balasubrahmanyam,Penmai Konda,84667
684,2023-09-25 15:42,S. P. Balasubrahmanyam,Kathalikkum Penin Kaikal,76915
685,2023-09-25 15:54,S. P. Balasubrahmanyam,Premika Ne Pyar Se,75800
686,2023-09-26 02:31,S. P. Balasubrahmanyam,Prema Entha,39393
687,2023-09-26 03:46,Binni Krishnakumar,Raa Raa,317744
688,2023-09-26 04:32,Divya Kumar,Deba He,240000
689,2023-09-26 06:16,Mano,Muqabala Muqabala,244238
690,2023-09-26 11:29,Kapil Kapilan,Neela Nilave,205014
691,2023-09-26 13:01,Binni Krishnakumar,Raa Raa,326426
692,2023-09-26 13:13,Binni Krishnakumar,Raa Raa,317624
693,2023-09-26 13:17,Jakes Bejoy,"Kalapakkaara (From ""King of Kotha"")",249217
694,2023-09-27 07:49,Amit Trivedi,Keh Ke Lunga,13194
695,2023-09-27 09:55,Yuvan Shankar Raja,Vilayaadu Mankatha,166492
696,2023-09-27 10:05,Harris Jayaraj,Mazhai Vara Pogudhae,282859
697,2023-09-27 10:06,A.R. Rahman,Urvashi Uravashi,54523
698,2023-09-27 10:08,A.R. Rahman,Urvashi Urvashi,125567
699,2023-09-27 10:16,Mano,Muqabala Muqabala,413588
700,2023-09-27 10:20,Mano,Muqabala Muqabala,186102
701,2023-09-27 10:25,Hemachandra Vedala,"Bommali (From ""Billa"")",315163
702,2023-09-27 10:30,Hemachandra Vedala,"Bommali (From ""Billa"")",315163
703,2023-09-27 10:37,Hemachandra Vedala,"Bommali (From ""Billa"")",315163
704,2023-09-27 10:41,Hemachandra Vedala,"Bommali (From ""Billa"")",255074
705,2023-09-27 10:54,Hemachandra Vedala,"Bommali (From ""Billa"")",332781
706,2023-09-27 10:55,Hemachandra Vedala,"Bommali (From ""Billa"")",0
707,2023-09-27 10:57,Mani Sharma,Solluda Siva,91348
708,2023-09-27 11:09,Mani Sharma,Laahe Laahe,132632
709,2023-09-27 12:52,Blaaze,Blast Baby,218571
710,2023-09-27 12:52,Blaaze,Blast Baby,0
711,2023-09-27 12:59,Mano,Muqabala Muqabala,311893
712,2023-09-27 13:04,S. P. Balasubrahmanyam,Ranga Ranga,265389
713,2023-09-27 14:38,S. P. Balasubrahmanyam,Mate Rani,260717
714,2023-09-27 14:47,S. P. Balasubrahmanyam,Mannil Indha,114209
715,2023-09-27 14:51,S. P. Balasubrahmanyam,Mate Rani,124559
716,2023-09-28 03:35,A.R. Rahman,Namma Satham,215489
717,2023-09-28 03:36,A.R. Rahman,Namma Satham,100027
718,2023-09-28 03:40,A.R. Rahman,Raawadi,191107
719,2023-09-28 03:51,A.R. Rahman,Raawadi,99013
720,2023-09-28 05:27,S. P. Balasubrahmanyam,Mate Rani,32336
721,2023-09-28 05:35,Shankar-Ehsaan-Loy,Kajra Re,482586
722,2023-09-28 13:05,Shankar-Ehsaan-Loy,Kajra Re,439705
723,2023-09-29 03:30,S. P. Balasubrahmanyam,Naa Autokaran Autokaran,139138
724,2023-09-29 03:36,Udit Narayan,Maya Maya,5866
725,2023-09-29 03:36,Udit Narayan,Maya Maya,347692
726,2023-09-29 04:11,S. P. Balasubrahmanyam,Baba Neeku Mokkutha,143719
727,2023-09-29 04:19,Harris Jayaraj,Yamma Yamma,366506
728,2023-09-29 04:31,Harris Jayaraj,Yamma Yamma,366506
729,2023-09-29 04:45,Harris Jayaraj,Yamma Yamma,552813
730,2023-09-29 05:03,Harris Jayaraj,Yamma Yamma,405715
731,2023-09-29 07:47,Mano,Muqabala Muqabala,320386
732,2023-09-29 07:49,Thaman S,"Nee Chuttu Chuttu (From ""Skanda"") (Telugu)",127689
733,2023-09-29 07:52,Hemachandra Vedala,"Bommali (From ""Billa"")",162026
734,2023-09-29 08:58,Hemachandra Vedala,"Bommali (From ""Billa"")",19536
735,2023-09-29 13:07,Sukhwinder Singh,Phir Dhan Te Nan,0
736,2023-09-29 13:13,Jyoti Nooran,Ek Aur Dhan Te Nan,286151
737,2023-09-29 13:16,Vishal Dadlani,Awaara Dogs,124958
738,2023-09-29 13:19,Jyoti Nooran,Ek Aur Dhan Te Nan,158510
739,2023-09-30 04:53,Harris Jayaraj,Yamma Yamma,366506
740,2023-09-30 04:59,Harris Jayaraj,Yamma Yamma,366506
741,2023-09-30 05:22,Harris Jayaraj,Yamma Yamma,100946
742,2023-10-03 04:42,Thaman S,Skanda Teaser Theme,54334
743,2023-10-03 04:43,Thaman S,Skanda Teaser Theme,54334
744,2023-10-03 04:50,Thaman S,Skanda Teaser Theme,54334
745,2023-10-03 04:50,Thaman S,Skanda Teaser Theme,1795
746,2023-10-03 13:09,Thaman S,Skanda Teaser Theme,54334
747,2023-10-03 13:23,Thaman S,Skanda Teaser Theme,52726
748,2023-10-06 04:46,Kapil Kapilan,Neela Nilave,31700
749,2023-10-06 04:46,Kapil Kapilan,Neela Nilave,253000
750,2023-10-06 04:47,Chithra Priya,Unakkum Enakkum,61152
751,2023-10-06 06:20,Chithra Priya,Unakkum Enakkum,10591
752,2023-10-06 07:08,Chithra Priya,Unakkum Enakkum,1001
753,2023-10-06 07:08,Chithra Priya,Unakkum Enakkum,7887
754,2023-10-06 13:29,Thaman S,Skanda Teaser Theme,54334
755,2023-10-06 13:30,Thaman S,Skanda Teaser Theme,28247
756,2023-10-08 15:05,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",119052
757,2023-10-08 15:07,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",119052
